"Artist" "Track" "Album" "danceability" "energy" "loudness" "speechiness" "acousticness" "instrumentalness" "liveness" "tempo" "length" "time_signature" "A" "B" "C" "D" "AnB" "AnC" "AnD" "BnC" "BnD" "CnD" "AnBnC" "AnBnD" "AnCnD" "BnCnD" "AnBnCnD"
"16" "Anderson .Paak" "Lockdown" "Lockdown" 0.928 0.437 -7.081 0.127 0.144 0.000357 0.147 100.056 212613 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"17" "Various Artists" "Don't Stop Believin'" "80s 100 Hits" 0.495 0.781 -8.109 0.0413 0.254 0 0.395 119.206 248200 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"18" "The Longest Johns" "Santiana" "Between Wind And Water" 0.73 0.344 -6.847 0.0636 0.942 0 0.707 134.543 174500 3 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0
"19" "Various Artists" "Our House" "Radio Waves Of The 80's - Pop Hits" 0.601 0.774 -6.889 0.0503 0.0267 0.000264 0.07 121.658 202986 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"20" "Bronze Radio Return" "Get All Over It" "Burners" 0.693 0.78 -5.969 0.0602 0.095 0 0.346 113.97 177557 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"21" "Howard Shore" "The Breaking of the Fellowship (feat. \"In Dreams\")" "The Lord of the Rings: The Fellowship of the Ring (Original Motion Picture Soundtrack)" 0.131 0.137 -20.553 0.0387 0.934 0.485 0.087 78.577 440800 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"22" "John Williams" "Raiders March" "John Williams: The Magic of Cinema" 0.345 0.337 -15.019 0.0455 0.707 0.621 0.074 115.967 344832 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"23" "Den svenska björnstammen" "Förlåta eller svika" "Country" 0.813 0.606 -8.547 0.0362 0.39 0.000138 0.0619 128.033 211560 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"24" "Low" "Don't Walk Away" "Don't Walk Away" 0.651 0.873 -5.193 0.0362 0.0023 0.00097 0.0925 123.014 171707 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"25" "Beach Fossils" "May 1st" "Somersault" 0.569 0.623 -7.441 0.0274 0.0413 0.0134 0.539 139.958 178555 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"26" "Angie Stone" "Wish I Didn't Miss You" "Mahogany Soul" 0.856 0.755 -5.691 0.0331 0.355 0.000621 0.145 123.883 270893 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"27" "ALMA" "Chasing Highs" "Chasing Highs" 0.782 0.764 -4.591 0.0572 0.303 1.17e-05 0.433 111.968 195678 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"28" "Madi Diaz" "Crying In Public" "History Of A Feeling" 0.525 0.114 -8.851 0.0402 0.872 0 0.11 140.801 240106 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"29" "Curtis Mayfield" "We Got to Have Peace" "Roots" 0.555 0.875 -7.587 0.0471 0.0496 6.91e-05 0.113 91.96 285867 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"30" "Lauren Sanderson" "Hi." "Hi." 0.779 0.509 -7.454 0.055 0.118 0.00131 0.0701 79.975 177571 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"31" "Saint Motel" "Butch" "ForPlay" 0.496 0.731 -5.283 0.0688 0.147 1.29e-06 0.207 96.997 198680 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"32" "Death In Vegas" "All That Glitters" "Dead Elvis" 0.695 0.405 -10.821 0.0763 0.597 0.636 0.0873 90.779 393640 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"33" "Grand National" "Peanut Dreams" "Kicking the National Habit" 0.688 0.401 -14.985 0.029 0.492 0.329 0.12 111.693 195693 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"34" "Fruit Bats" "Humbug Mountain Song" "Absolute Loser" 0.593 0.926 -5.361 0.0319 0.0355 0.0582 0.311 100.011 184347 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35" "Frankie Goes To Hollywood" "Relax" "Welcome To The Pleasuredome" 0.676 0.695 -13.395 0.0392 0.326 1.09e-05 0.0462 114.93 236800 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"36" "Barenaked Ladies" "Keepin' It Real" "Grinning Streak (Deluxe Version)" 0.714 0.767 -6.905 0.0457 0.0101 0.00825 0.138 129.983 211555 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"37" "The Shins" "The Great Divide - Flipped" "The Great Divide" 0.423 0.724 -6.112 0.0434 0.0607 0.000418 0.112 171.983 241333 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"38" "alt-J" "U&ME" "The Dream" 0.587 0.722 -8.332 0.0574 0.133 0.00322 0.133 81.973 198840 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"39" "Son Mieux" "Multicolor" "Multicolor" 0.682 0.799 -5.227 0.0275 0.0445 2.7e-06 0.15 114.998 208681 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"40" "Various Artists" "Together In Electric Dreams" "80s Forever" 0.684 0.668 -10.058 0.025 0.309 1.13e-05 0.128 129.961 231093 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"41" "Low Roar" "Sleep Peacefully" "maybe tomorrow..." 0.15 0.333 -12.693 0.0374 0.691 0.37 0.303 169.09 168086 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"42" "John Williams" "Cantina Band" "Star Wars: A New Hope (Original Motion Picture Soundtrack)" 0.699 0.419 -15.133 0.134 0.255 0.0239 0.0471 131.629 164307 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"43" "Kevin Morby" "I Hear You Calling" "I Hear You Calling" 0.637 0.484 -11.58 0.0285 0.687 0.00706 0.263 120.065 230069 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"44" "Rhys Lewis" "Be Your Man" "Be Your Man" 0.517 0.525 -7.494 0.0492 0.217 0 0.107 170.049 240867 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"45" "Billie Eilish" "Oxytocin" "Happier Than Ever" 0.757 0.598 -7.777 0.058 0.0904 0.551 0.15 124.951 210233 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"46" "Jamie T" "Zombie" "Carry On The Grudge" 0.544 0.914 -4.337 0.063 0.0113 0 0.485 145.09 246186 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"47" "Mister Modo & Ugly Mac Beer" "Let It Slide" "Modonut 2" 0.696 0.596 -5.759 0.0609 0.517 3.8e-06 0.396 94.006 146453 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"48" "Cody Simpson" "La Da Dee" "Surfers Paradise (Expanded)" 0.657 0.828 -5.544 0.0728 0.00847 0 0.326 115.954 196787 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"49" "T. Rex" "Debora" "Live In Concert" 0.512 0.405 -13.649 0.299 0.727 0 0.726 159.745 198827 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"50" "Data" "Mélodie" "Mélodie - Single" 0.463 0.666 -8.662 0.0829 0.338 0.00192 0.239 175.947 256009 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"51" "Peter Bjorn and John" "Gut Feeling" "Darker Days" 0.609 0.804 -4.137 0.042 0.115 2.34e-06 0.503 131.986 182538 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"52" "Ali Toygar" "Silfra" "Silfra" 0.28 0.0791 -24.851 0.0497 0.994 0.951 0.101 150.045 176000 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"53" "Jan Thiel" "Reisida" "Seeme" 0.499 0.0321 -27.78 0.0321 0.994 0.941 0.0851 95.921 175500 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"54" "Bukahara" "Biography" "Strange Delight" 0.806 0.532 -4.42 0.157 0.166 4.22e-06 0.0478 90.009 204747 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"55" "Rainbow Kitten Surprise" "Hide - Live from Athens Georgia" "RKS! Live From Athens Georgia" 0.629 0.763 -6.009 0.132 0.464 0 0.778 115 197056 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"56" "Bruno Mars" "Blast Off" "An Evening With Silk Sonic" 0.482 0.548 -9.946 0.0373 0.0363 2.28e-06 0.3 76.017 284870 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"57" "Jack and the Weatherman" "Rock Bottom" "HAIZ" 0.611 0.706 -5.036 0.0603 0.313 0 0.053 157.968 198240 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"58" "Lana Del Rey" "The greatest" "Norman Fucking Rockwell!" 0.443 0.226 -12.507 0.0359 0.939 0.0201 0.14 79.142 300361 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"59" "The Script" "This = Love" "Science & Faith" 0.319 0.753 -4.745 0.0457 0.057 0 0.0621 93.806 260693 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"60" "Livia Binaural" "High LFO" "Binaural Rain" 0.412 0.367 -30.854 0.0801 0.996 0.97 0.113 149.959 130842 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"61" "STR4TA" "Kinshasa FC" "Aspects" 0.614 0.992 -7.552 0.0521 0.0227 0.857 0.115 111.982 305360 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"62" "The Vryll Society" "Deep Blue Skies" "Deep Blue Skies" 0.323 0.672 -7.48 0.0299 0.00113 0.872 0.0862 133.728 299097 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"63" "Theo Lawrence" "Sticky Icky" "Sticky Icky" 0.784 0.728 -6.632 0.0455 0.232 0.00933 0.0642 141.679 180617 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"64" "Dr. Dog" "Where'd All the Time Go?" "Shame, Shame (Deluxe Edition)" 0.454 0.82 -4.193 0.0567 0.132 0.000969 0.115 166.303 234800 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"65" "Patrick Watson" "A Mermaid in Lisbon" "A Mermaid in Lisbon" 0.428 0.447 -10.755 0.0377 0.706 0.00393 0.195 79.222 208649 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"66" "Public Service Broadcasting" "Blue Heaven" "Bright Magic" 0.33 0.546 -8.665 0.0384 0.017 0.000201 0.234 155.836 257307 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"67" "Mike Posner" "Cooler Than Me - Single Mix" "31 Minutes to Takeoff" 0.75 0.818 -4.601 0.0551 0.146 0 0.686 129.963 213293 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"68" "Querbeat" "Afraid No More - Live Session" "Bunte Pyramiden / Afraid No More (Live Session)" 0.736 0.539 -6.723 0.0351 0.198 8.85e-05 0.33 104.061 280703 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"69" "Breaking Benjamin" "Intro" "Phobia (Collector Edition)" 0.444 0.797 -12.205 0.086 0.00091 0.04 0.65 125.114 75841 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"70" "Crosby, Stills, Nash & Young" "Ohio" "Fillmore East 1970" 0.328 0.682 -11.844 0.0623 0.483 0 0.407 155.738 264667 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"71" "The Wanted" "Glad You Came" "Battleground (Deluxe Edition)" 0.722 0.851 -3.873 0.0639 0.0319 0 0.108 126.885 197935 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"72" "Michael Giacchino" "The Batman" "The Batman (Original Motion Picture Soundtrack)" 0.209 0.152 -16.519 0.0324 0.5 0.903 0.103 80.136 407533 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"73" "Sia" "Never Give Up" "Never Give Up (From \"Lion\" Soundtrack)" 0.568 0.936 -2.961 0.053 0.00497 0.0138 0.12 91.009 221987 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"74" "Wiley from Atlanta" "Pink Skies (Demo)" "Demo 001" 0.565 0.566 -8.737 0.141 0.485 6.55e-06 0.104 138.836 223101 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"75" "Delvon Lamarr Organ Trio" "Memphis - Live" "Live at KEXP!" 0.623 0.784 -7.883 0.0364 0.0466 0.741 0.0903 87.862 418080 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"76" "Giant Rooks" "Mia & Keira (Days to Come)" "New Estate" 0.463 0.787 -6.621 0.0407 0.0619 0.00871 0.0919 184.011 258261 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"77" "Red Vox" "Reno" "Another Light" 0.292 0.779 -10.735 0.0499 0.00032 0.588 0.0779 164.014 319893 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"78" "Vangelis" "Hera / Juno Queen of the Gods" "Juno to Jupiter" 0.0876 0.212 -14.907 0.0356 0.702 0.835 0.164 84.441 261320 5 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"79" "Genevieve Stokes" "Surface Tension" "Swimming Lessons" 0.759 0.517 -9.165 0.044 0.773 0.00134 0.109 123.049 206617 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"80" "Lettuce" "Move on Up" "Rage!" 0.605 0.927 -4.499 0.145 0.0786 0.000842 0.108 144.894 213480 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"81" "Vance Joy" "One of These Days" "Nation of Two" 0.548 0.783 -4.911 0.0279 0.0417 0 0.178 82.009 176440 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"82" "Eminem" "The Monster" "The Marshall Mathers LP2" 0.781 0.853 -3.68 0.0715 0.0525 0 0.12 110.049 250189 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"83" "John Frusciante" "Someone's" "To Record Only Water For Ten Days (U.S. Version)" 0.632 0.923 -2.902 0.0765 0.0092 1.93e-05 0.145 120.93 113013 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"84" "Luke Hemmings" "Baby Blue" "When Facing the Things We Turn Away From" 0.54 0.82 -3.848 0.0437 0.188 0 0.0724 123.991 223182 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"85" "LANY" "ex i never had" "gg bb xx" 0.65 0.388 -7.065 0.0332 0.306 0 0.114 96.001 201442 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"86" "Aztec Camera" "Somewhere in My Heart" "The Best Of Aztec Camera" 0.638 0.733 -9.529 0.0279 0.0853 0 0.13 133.834 241920 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"87" "Lana Del Rey" "Watercolor Eyes - From “Euphoria” An HBO Original Series" "Watercolor Eyes (From “Euphoria” An HBO Original Series)" 0.444 0.26 -10.045 0.0316 0.964 0.0815 0.125 120.443 211613 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"88" "Celine Josephina" "Time Time Time Time" "Time Time Time Time" 0.609 0.0717 -18.259 0.0381 0.986 1.02e-05 0.115 81.077 151667 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"89" "Jónsi" "Sinking Friendships" "Go" 0.467 0.628 -7.868 0.0349 0.621 0.0045 0.0823 117.94 282120 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"90" "Shuggie Otis" "Strawberry Letter 23" "Freedom Flight" 0.519 0.483 -12.795 0.0277 0.139 0.000218 0.365 171.028 239907 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"91" "City of the Sun" "Une Nuit Sur Terre" "Máscaras En El Viento" 0.205 0.218 -18.039 0.0358 0.919 0.85 0.106 160.051 134960 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"92" "Concorde" "Sons" "Quality Street" 0.512 0.753 -7.398 0.04 0.0713 0.00494 0.208 129.419 309493 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"93" "Hidden Fees" "So What" "Funhouse (Expanded Edition)" 0.534 0.87 -3.078 0.0425 0.000334 0 0.241 126.019 215160 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"94" "The Beatles" "With A Little Help From My Friends - Remastered 2009" "Sgt. Pepper's Lonely Hearts Club Band (Remastered)" 0.705 0.515 -9.343 0.0337 0.365 0 0.389 112.035 164107 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"95" "RIVVRS" "We Were Young (acoustic)" "We Were Young (Acoustic)" 0.593 0.354 -14.32 0.0292 0.548 1.4e-06 0.119 99.996 204828 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"96" "Frank Turner" "Recovery" "Tape Deck Heart (Deluxe Edition)" 0.522 0.893 -2.408 0.0501 0.0605 0 0.0653 156.009 208040 4 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"97" "Moon Taxi" "Rooftops" "Liberation Transmission" 0.32 0.812 -4.72 0.0415 5.29e-05 0 0.18 177.94 251507 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"98" "Chaka Khan" "Ain't Nobody" "Epiphany: The Best of Chaka Khan, Vol. 1" 0.8 0.878 -7.109 0.0434 0.189 0.000104 0.14 104.282 280853 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"99" "Razorlight" "Golden Touch - Full Length" "Up All Night" 0.606 0.532 -4.173 0.0248 0.0956 1.27e-05 0.276 95.315 205213 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"100" "Ween" "Ocean Man" "The Mollusk" 0.72 0.912 -6.13 0.0363 0.551 0.00122 0.0982 122.782 126947 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"101" "Mat McHugh" "Go Don't Stop" "Love Come Save Me" 0.885 0.522 -8.641 0.0842 0.394 2e-04 0.0689 90.056 198693 4 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0
"102" "Malotte H" "Yōsei" "Yōsei" 0.32 0.0298 -26.861 0.0369 0.993 0.94 0.11 110.052 158000 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"103" "Los Porcos" "Do You Wanna Live ?" "Porco Mio" 0.65 0.821 -3.951 0.0286 0.126 0.0221 0.315 127.493 404985 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"104" "Molly Kate Kestner" "Prom Queen" "Prom Queen" 0.601 0.706 -4.537 0.0458 0.0495 0 0.0982 91.996 226143 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"105" "Babyshambles" "Dr. No" "Sequel To The Prequel" 0.71 0.646 -5.633 0.0313 0.165 0.0559 0.153 122.316 272289 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"106" "CASTLEBEAT" "Change Your Mind" "CASTLEBEAT" 0.384 0.578 -9.624 0.0312 0.000104 0.886 0.125 150.013 297273 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"107" "XLD Library" "Gamma 200 Hz - L 250 Hz - R" "Gamma Brainwaves High Level Information" 0.172 0.0379 -34.829 0.051 0.982 0.892 0.111 67.265 208298 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"108" "Blossoms" "Charlemagne - In Isolation" "In Isolation / Live From The Plaza Theatre, Stockport" 0.684 0.779 -4.026 0.0535 0.0194 0.0295 0.171 101.991 167913 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"109" "Moux" "with me, with you" "heart pieces" 0.536 0.0751 -22.156 0.0309 0.993 0.917 0.1 141.041 199667 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"110" "Dexter Mills" "Unfinished Story" "Unfinished Story" 0.496 0.00421 -29.396 0.0377 0.995 0.952 0.112 71.416 137968 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"111" "Avicii" "Heart Upon My Sleeve (feat. Imagine Dragons)" "TIM" 0.588 0.601 -5.983 0.0332 0.316 0 0.148 126.06 254166 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"112" "Bad Boys Blue" "You're a Woman" "Hot Girls, Bad Boys" 0.737 0.309 -12.437 0.0426 0.0297 0.000511 0.313 118.218 321840 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"113" "HAIM" "Night So Long" "Something To Tell You" 0.348 0.381 -7.198 0.0308 0.487 0.011 0.281 112.943 184611 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"114" "Johnny Logan" "Love Letters" "The Best Of Johnny Logan" 0.608 0.445 -14.664 0.0357 0.773 0.00235 0.0615 93.201 251560 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"115" "Dimitri Stöckl" "As She Rises" "As She Rises" 0.39 0.00153 -25.624 0.121 0.991 0.753 0.088 75.053 143551 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"116" "John Vincent III" "City Rain" "Songs from the Valley" 0.42 0.433 -8.373 0.031 0.0348 0.0202 0.168 117.231 285218 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"117" "The Derevolutions" "Bad King Kong" "The Derevolutions" 0.614 0.991 -2.201 0.0593 0.0455 0.0776 0.0761 97.995 392207 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"118" "j ember" "Dumb" "Seven Shades of Heartbreak" 0.57 0.423 -5.858 0.0301 0.028 0 0.0614 76.961 206162 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"119" "Nick Mulvey" "Imogen" "Wake Up Now" 0.493 0.584 -6.894 0.0311 0.85 0.000353 0.114 86.909 255533 4 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0
"120" "Benjamin Amaru" "When I Was Younger" "When I Was Younger" 0.767 0.421 -10.449 0.0345 0.725 0.000149 0.117 140.975 282000 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"121" "Henry And The Waiter" "Over the Rainbow" "Alone In Iz World" 0.671 0.153 -13.569 0.0404 0.912 5.53e-05 0.0771 85.6 211933 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"122" "The Supervillains" "Movin' out (Anthony's Song)" "Massive" 0.628 0.509 -14.041 0.0879 0.0218 5.39e-05 0.173 74.918 217467 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"123" "Jessie Murph" "Always Been You" "Always Been You" 0.655 0.572 -7.666 0.0535 0.646 1.81e-06 0.0774 137.12 131825 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"124" "Paramore" "Still into You - Live at Red Rocks Amphitheatre, Morrison, CO, 8/12/2014" "Paramore (Deluxe Edition)" 0.5 0.953 -4.682 0.0918 0.00313 1.72e-05 0.908 135.98 270776 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"125" "Peder B. Helland" "Dreaming" "The Coral" 0.441 0.684 -7.495 0.031 0.374 0.000848 0.108 199.001 141000 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"126" "Bones & Beeker" "Each Time I Die" "Bones & Beeker" 0.629 0.653 -6.641 0.033 0.00127 0.00663 0.244 95.796 248613 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"127" "Kate Bush" "Running Up That Hill (A Deal With God)" "Hounds Of Love" 0.629 0.547 -13.123 0.055 0.72 0.00314 0.0604 108.375 298933 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"128" "Sammy Rae & The Friends" "Talk It Up" "The Good Life" 0.524 0.733 -4.669 0.0938 0.593 0 0.0931 112.716 238480 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"129" "Beauville" "Letting In" "Letting In" 0.734 0.535 -7.674 0.2 0.623 0.0111 0.108 80.048 263467 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"130" "David Bowie" "Right - 2016 Remaster" "Young Americans (2016 Remaster)" 0.546 0.731 -10.051 0.17 0.123 2.66e-05 0.0651 174.298 262893 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
