Artist,Track,Album,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,length,time_signature,A,B,C,D,AnB,AnC,AnD,BnC,BnD,CnD,AnBnC,AnBnD,AnCnD,BnCnD,AnBnCnD
Winona Oak,Nobody Loves Me (feat. ELIO),Nobody Loves Me (feat. ELIO),0.62,0.63,-8.749,0.0935,0.466,0.00496,0.152,169.969,150764,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Austin Basham,New House,You and Me for Now,0.513,0.629,-5.921,0.0314,0.498,0.0027,0.0891,119.942,213229,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Broken Back,Chagall - Alternate Version,Chagall (Alternate Version),0.738,0.787,-7.081,0.0549,0.419,0.0028,0.347,109.956,192000,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Dan Owen,Fall Before You,Fall Before You,0.652,0.405,-10.752,0.0381,0.52,0.0,0.0974,111.986,167944,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
flora cash,Chronically Beautiful,Chronically Beautiful,0.793,0.439,-7.123,0.0317,0.106,0.0,0.266,100.11,164400,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Indochine,La vie est belle,13,0.74,0.565,-8.203,0.0289,0.325,0.000973,0.124,119.979,327733,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parquet Courts,Tenderness,Wide Awake!,0.717,0.72,-4.269,0.0364,0.167,0.000216,0.0774,97.958,186107,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
CeeLo Green,Forget You,The Lady Killer (The Platinum Edition),0.696,0.875,-3.682,0.0649,0.134,0.0,0.159,127.39,222733,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
UPSAHL,Drugs (feat. Two Feet),Drugs (feat. Two Feet),0.824,0.549,-3.9,0.226,0.373,0.0,0.0779,153.812,155853,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie Cunningham,Minimum,Lines,0.492,0.841,-9.181,0.0904,0.729,0.00027,0.101,177.869,194907,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dry the River,The Chambers & The Valves,Shallow Bed (Deluxe Version),0.353,0.869,-4.576,0.0877,0.0591,0.224,0.146,126.537,190293,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghan Trainor,I'll Be Home,Title (Expanded Edition),0.542,0.37,-7.779,0.0257,0.318,4.84e-06,0.108,84.796,219653,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Beatles,Yesterday - Remastered 2009,Help! (Remastered),0.332,0.179,-11.83,0.0326,0.879,0.0,0.0886,96.529,125666,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Joy Crookes,When You Were Mine,When You Were Mine,0.369,0.829,-3.81,0.0789,0.0684,0.0991,0.343,102.175,203484,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Howard Shore,Samwise the Brave,The Lord of the Rings: The Two Towers (Original Motion Picture Soundtrack),0.0646,0.0883,-20.109,0.0447,0.805,0.899,0.117,65.689,226000,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavia Cortez,silbermond,Sunflower Field,0.112,0.0137,-28.804,0.0449,0.995,0.903,0.105,63.495,169579,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Krol,Like a Star,I Hate Jazz,0.404,0.797,-6.385,0.0584,0.00152,1.94e-05,0.357,169.057,93653,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
John Mayer,New Light,Sob Rock,0.826,0.694,-7.862,0.0315,0.316,0.0285,0.074,123.932,217427,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
One Self,Be Your Own,Children of Possibility,0.824,0.558,-8.161,0.36,0.259,0.113,0.0478,96.806,284907,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Sandberg,Motion,Motion,0.137,0.00965,-34.079,0.0487,0.995,0.917,0.107,176.173,191121,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pyrates!,Chicken On a Raft,Uncharted Lands,0.779,0.6,-9.489,0.242,0.553,0.0,0.294,121.898,189559,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Biffy Clyro,Black Chandelier,Opposites (Deluxe),0.67,0.492,-6.618,0.029,0.00276,1.46e-06,0.073,111.374,244867,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtis Harding,Need Your Love,Face Your Fear,0.713,0.8,-5.938,0.0349,0.0491,7.96e-05,0.0921,139.942,177200,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Valaire,I Wanna,Whitney,0.709,0.824,-8.824,0.0453,0.207,0.000307,0.0888,118.818,291293,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gasoline,The Hardest,Journey Into Abstract Hip Hop,0.851,0.697,-7.343,0.199,0.148,0.0251,0.0927,94.888,242467,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Tribe Called Quest,Check the Rhime,The Low End Theory,0.881,0.361,-14.728,0.237,0.0502,0.00458,0.246,96.43,216693,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominic Fike,3 Nights,"Don't Forget About Me, Demos",0.815,0.518,-6.594,0.0897,0.223,0.0,0.104,151.891,177667,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Green Day,She,International Superhits!,0.37,0.937,-3.939,0.0356,7.37e-05,0.00817,0.0904,93.307,134293,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TRESOR,Aphrodite,Nostalgia,0.646,0.615,-12.868,0.0913,0.785,0.00234,0.269,95.988,234747,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Flamingosis,Flight of the Flamingo,Bright Moments,0.729,0.525,-12.584,0.112,0.00187,0.498,0.0453,87.002,188966,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Williams,Hedwig's Theme,Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack,0.156,0.162,-17.101,0.036,0.897,0.691,0.111,73.407,309093,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pond,Paint Me Silver,The Weather,0.355,0.821,-6.134,0.049,0.00533,0.00304,0.216,177.427,224973,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Morrison,Broken Strings,"Songs For You, Truths For Me (International Exclusive Bundle)",0.57,0.717,-4.914,0.029,0.00967,0.0,0.0833,111.91,250453,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Antônio Carlos Jobim,Corcovado,"The Composer Of Desafinado, Plays",0.623,0.191,-22.171,0.0331,0.315,0.696,0.0587,121.189,145960,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Walter,Little Miss Lover (feat. Gary Bartz & The Greyboy Allstars),Spirit of '70,0.697,0.596,-12.252,0.0412,0.635,0.894,0.0747,99.596,257293,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liedfett,Gib mir dein Finger,Laufenlassen,0.717,0.763,-11.153,0.0495,0.0287,0.0,0.279,124.016,251830,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Imagine Dragons,Smoke And Mirrors,Smoke + Mirrors (Deluxe),0.601,0.636,-7.283,0.0283,0.0657,0.0218,0.446,109.987,260907,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUNA,"It's Gonna Be Okay, Baby",Saves The World,0.731,0.607,-6.577,0.0321,0.0102,0.00413,0.19,107.988,344960,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambient Chronicity,Beta Focus,Brainwave Beta Attention Drones,0.0741,0.015,-27.351,0.0476,0.993,0.987,0.109,80.028,210000,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jukebox The Ghost,Don't Stop Me Now,Jazz (2011 Remaster),0.559,0.868,-5.276,0.17,0.0475,0.000176,0.776,156.295,209413,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Villagers,Nothing Arrived,Spotify Sessions,0.579,0.415,-11.599,0.0397,0.929,0.0018,0.671,102.713,219093,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Allman Brown,Sons and Daughters,1000 Years,0.525,0.461,-9.489,0.0878,0.775,2.14e-06,0.362,147.997,216052,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Swedish House Mafia,One,Views,0.792,0.625,-5.609,0.0536,0.00776,0.0018,0.329,103.967,173987,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayland Baxter,Willy's Song,Feathers & Fishhooks,0.498,0.512,-8.201,0.053,0.519,0.0,0.106,166.926,223547,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Les Rêveries,Aviron,Prospicio,0.355,0.0173,-28.01,0.0453,0.988,0.934,0.0921,123.635,150375,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Colder,Crazy Love,Sincere (Deluxe),0.885,0.629,-8.05,0.059,0.206,2.97e-06,0.121,131.977,279587,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Fender,That Sound,Dead Boys - EP,0.548,0.719,-2.004,0.0298,0.0005,0.0,0.0779,94.084,205881,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shakey Graves,Cheers,Cheers,0.712,0.758,-5.962,0.0662,0.0619,0.0,0.166,112.05,149680,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aquilo,Thin,x (Deluxe Edition),0.781,0.445,-6.061,0.0295,0.474,0.0,0.184,78.998,281560,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Kiwanuka,Cold Little Heart - Acoustic,Cold Little Heart (Acoustic),0.507,0.327,-6.322,0.0264,0.833,0.0,0.232,107.942,269387,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
eine kleine dorfMusik,Polka mit Herz,da capo,0.446,0.203,-8.946,0.0311,0.918,0.827,0.0936,98.442,232520,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Busted,Year 3000,Busted,0.592,0.842,-6.681,0.0353,0.000219,0.0,0.0934,107.015,196200,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TM Juke,Marbles & Drains,Marbles & Drains,0.761,0.66,-6.576,0.0345,0.016,0.913,0.0507,93.95,289695,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabrizio Paterlini,"All My Joy, All My Pain",Winter Stories,0.366,0.037,-24.291,0.0385,0.992,0.914,0.118,63.134,172173,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Barenaked Ladies,Summertime,All In Good Time,0.509,0.744,-5.5,0.0326,0.0228,0.0,0.202,178.08,231826,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Old Sea Brigade,Tidal Wave - Acoustic,Cover My Own (Acoustic),0.646,0.288,-15.797,0.032,0.935,0.00122,0.16,106.923,155050,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaac Hayes,Hung Up On My Baby,Tough Guys,0.678,0.695,-9.825,0.0284,0.181,0.635,0.0459,102.511,377639,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyrah,Hold Me,Divinely Uninspired To A Hellish Extent,0.688,0.53,-5.507,0.0333,0.443,0.0,0.0995,106.958,205687,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Biffy Clyro,Small Wishes,Ellipsis (Deluxe),0.448,0.674,-5.289,0.0254,0.018,7.2e-05,0.0901,182.03,186186,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Flying Stars Of Brooklyn NY,My God Has A Telephone,My God Has a Telephone,0.584,0.404,-8.598,0.0456,0.863,0.00579,0.103,197.878,175493,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Flaming Lips,Do You Realize??,Yoshimi Battles the Pink Robots,0.464,0.797,-5.244,0.0333,0.006,0.000304,0.392,129.964,213173,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
William Ryan Fritch,Red Wolves,Gopro: Eagle Hunters in a New World,0.225,0.24,-15.216,0.0336,0.731,0.441,0.0995,75.804,148139,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Go West,The King of Wishful Thinking,Indian Summer,0.669,0.869,-7.378,0.0525,0.0331,0.0,0.0991,107.887,241760,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mehro,lightning,SKY ON FIRE,0.602,0.528,-7.709,0.0304,0.849,4.1e-06,0.128,149.951,188336,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Courteeners,Not Nineteen Forever,St. Jude,0.402,0.92,-2.944,0.0408,0.000174,0.0,0.0807,139.793,243973,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Summer Salt,Sweet to Me,Driving to Hawaii,0.563,0.51,-6.751,0.0283,0.677,4.18e-06,0.305,97.463,204307,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinese Man,Skank in the air,Groove Sessions,0.713,0.634,-8.163,0.198,0.0014,0.315,0.388,164.363,286200,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bon Iver,Beth/Rest,Bon Iver,0.489,0.25,-12.766,0.0307,0.921,0.736,0.11,128.286,316800,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mario Lanza,Guardian Angels,Angelic Reiki,0.0686,0.147,-20.257,0.0382,0.945,0.927,0.074,73.122,310773,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mumford & Sons,Little Lion Man,Sigh No More (Deluxe),0.519,0.494,-8.03,0.0275,0.0287,3.34e-05,0.0892,138.524,247000,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Biig Piig,Perdida,"Big Fan of the Sesh, Vol. 1",0.767,0.0814,-13.437,0.307,0.837,0.0023,0.174,76.572,180950,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Gemp,Rosado,Rosado,0.729,0.283,-14.602,0.0767,0.881,0.891,0.128,87.958,171836,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Running Touch,Aubrey,A Body Slow,0.782,0.626,-6.999,0.0609,0.0338,0.0164,0.0845,120.011,253000,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steve Jablonsky,Autobots,Transformers: The Score,0.392,0.492,-14.757,0.057,0.572,0.959,0.109,80.016,153027,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Frode,Skog,Skog,0.245,0.0348,-27.705,0.0363,0.991,0.831,0.101,136.574,164294,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry Styles,Adore You,Fine Line,0.676,0.771,-3.675,0.0483,0.0237,7e-06,0.102,99.048,207133,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sugar Jesus,S.A.D.,S.A.D.,0.676,0.786,-5.073,0.035,0.00324,0.107,0.325,124.031,176129,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junodream,Travel Guide,Travel Guide,0.423,0.635,-7.582,0.0369,0.0688,0.68,0.308,160.005,266170,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eminem,Square Dance,The Eminem Show,0.763,0.675,-1.797,0.223,0.0307,0.0,0.0876,82.0,323720,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devin Townsend,Daddy,Wiped Out!,0.588,0.521,-9.461,0.0329,0.0678,0.149,0.123,85.012,260173,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Tré Burt,Sweet Misery,Sweet Misery,0.614,0.546,-6.858,0.0296,0.625,2.38e-06,0.0957,87.353,189329,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernadine Richter,Sweet Cherie,Sweet Cherie,0.512,0.0371,-30.083,0.0387,0.988,0.926,0.11,111.192,187000,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Coup,OYAHYTT (feat. LaKeith Stanfield),Sorry To Bother You: The Soundtrack,0.746,0.614,-5.503,0.0406,0.000463,0.00619,0.155,121.98,253120,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sylvan Esso,Slack Jaw,What Now,0.526,0.102,-15.142,0.11,0.739,0.0,0.0888,139.085,185480,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Etta Marcus,Hide & Seek,Hide & Seek,0.47,0.762,-8.292,0.0314,0.062,0.000886,0.392,159.006,221613,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Creedence Clearwater Revival,Have You Ever Seen The Rain,Pendulum (40th Anniversary Edition),0.741,0.697,-7.028,0.0277,0.0664,2.28e-05,0.133,116.109,160133,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Marianas Trench,Who Do You Love,Astoria,0.683,0.713,-7.511,0.0535,0.122,0.0,0.224,106.994,232100,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Guns N' Roses,November Rain,Use Your Illusion I,0.294,0.641,-9.316,0.0291,0.0163,0.22,0.112,79.759,536067,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Novo Amor,Seneca,Birthplace,0.182,0.341,-9.966,0.0337,0.972,0.608,0.1,78.895,267747,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
High Tone,Mother Dubber,Bass Température,0.586,0.638,-8.9,0.0497,0.00404,0.843,0.0934,82.086,315587,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean-Marie Bussiere,Nothingness Began Slowly,Nothingness Began Slowly,0.31,0.05,-30.665,0.04,0.993,0.896,0.105,82.587,119579,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Glass Animals,Gooey,ZABA,0.487,0.369,-13.424,0.0406,0.736,3.75e-05,0.0925,183.114,289307,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ariel Posen,Spare Tire,Spare Tire,0.776,0.824,-6.12,0.0591,0.1,0.773,0.0829,112.079,168209,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roo Panes,Big Wide World,Big Wide World,0.585,0.487,-11.067,0.0349,0.585,0.488,0.085,140.943,254747,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brendan Maynard + 2,Prelude to a Kiss,Giant Steps,0.522,0.0945,-17.913,0.0365,0.947,0.573,0.158,94.084,264626,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Tides,Under The Wind,Under The Wind,0.253,0.203,-16.256,0.0484,0.834,0.859,0.109,59.99,240000,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Scary Pockets,Blinded by the Light,A Grand Don't Come for Free,0.599,0.701,-5.718,0.568,0.315,0.0,0.102,133.046,284600,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Two Feet,Ella,Ella,0.605,0.817,-4.586,0.0312,0.001,0.691,0.0954,120.001,244677,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George Ezra,Blind Man in Amsterdam,Wanted on Voyage,0.618,0.217,-11.066,0.0389,0.874,0.0,0.13,91.985,104853,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Perry,Save Me Now,Save Me Now,0.556,0.684,-5.075,0.0459,0.0106,0.0,0.531,125.189,196080,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Who,Baba O'Riley,Who's Next,0.489,0.724,-8.367,0.0352,0.313,0.185,0.287,117.292,300400,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chet Faker,Killing Jar,Work,0.655,0.687,-11.196,0.0573,0.492,0.479,0.112,176.023,436146,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Arcs,Chains of Love,"Yours, Dreamily,",0.656,0.602,-8.11,0.0301,0.111,7.28e-05,0.112,105.874,191213,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mehro,howling,howling,0.496,0.335,-11.137,0.0347,0.891,0.439,0.113,75.96,213720,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Simon,Me and Julio Down by the Schoolyard,Paul Simon,0.626,0.816,-10.593,0.131,0.237,1.8e-06,0.104,105.307,164813,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayland Baxter,Without Me,The Eminem Show,0.908,0.669,-2.827,0.0738,0.00286,0.0,0.237,112.238,290320,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fulvio Neri,Vacanza in bicicletta,Vacanza in bicicletta,0.218,0.00845,-31.658,0.0443,0.992,0.804,0.11,68.802,167288,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Proclaimers,Throw the 'R' Away,This Is the Story,0.416,0.564,-12.508,0.0393,0.706,0.0,0.11,168.186,165200,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FISHER,Palm Beach Banga,Palm Beach Banga,0.766,0.8,-6.37,0.117,0.00899,0.00214,0.165,126.002,233837,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Good, the Bad & the Queen",History Song,"The Good, The Bad and The Queen",0.424,0.643,-10.477,0.0448,0.0642,0.153,0.355,160.099,185045,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
